processed,Code
hiperreactividad bronquial,J9809
broncoespastica,J9801
miocardiopatia dilatada,I420
hipertension arterial insuficiencia renal cronica 6,Y831
crisis febriles atipicas,R5600
protesis mama,Z9882
hernia discal parto,M5126
shock septico,N189
puerpera,Z390
podalica,O322XX0
hipoacusia bilateral congenita,H903
hemicolectomia derecha,Z9049
ventosa,10D07Z6
ecografia tranvaginal,BU4CZZZ
retencion aguda orina,R339
hemorragia post parto,O721
sindrome mielodisplasico,99893
mioma part,O3413
desgarro de 1er grado,O700
osteotomia tipo weil derecha,0Q8N3ZZ
trasplante renal,V420
nodulo vocales,J382
escherichia coli,B9620
gs: 0 rh negativo,Z6741
adenoma hipofisario,2273
radiografia abdomen,BW00ZZZ
indometacina rectal,3E0H73Z
infeccion tracto urinario 2t,O23592
deterioro congitivo,F09
hernia inguinal derecha,0YU50JZ
cin ii parto,N871
sobrepeso parto,E663
ginecomastia,N62
detorsion testicular derecho,0VN90ZZ
deshidratado,E860
asma part,J45909
hiperparatiroidismo secundario a deficit de vit d,E211
cefalea migranosa,G43909
tiroides multinodular,E042
hipertension arterial insuficiencia renal cronica,40390
papiledema,37700
miomectomia histeroscopica,6823
leucemia mieloide aguda,98613
sars-cov-2 negatius,Z20822
celulitis eid,L03115
tumoracion suprarrenal derecha,2270
insulino,Z794
bsgc pelvic,07BC0ZX
erisipela en extremidad superior derecha,A46
anexectomia bilateral lap,0UT74ZZ
fx de huesos propios de la nariz,S022XXA
cefalea,R51
monocorial biamniotico,O30033
cistectomia radical,07TC0ZZ
bicorial/biamniotico,V9103
expansor mama izq,0HHU0NZ
ondansetron,3E0337Z
endometriosis part,N809
fractura dent,87363
anemia pueperio,O9081
geu,O0090
617.5,N805
rmn abd,BW30ZZZ
desgarro en vagina,O714
flutter auricular,I4892
febril,78060
legrado obstetrico,10D17ZZ
paracetamol,9929
anemia hipocromica microcitica,2809
ondansetron,3E0337Z
rotura prematura membranas recien nacido,P011
enfermedad pulmonar obstructiva cronica infeccion respiratoria,J440
neoplasia de prostata,C61
lumbociatica,7243
sindrome confusional,F05
hidrocele,6039
polineuropatia diabetica 2,25060
fibromialgia,M797
fibrinogeno,9906
barrera idiomatica,Z603
biopsia pleural derecha,0BBN3ZX
vrs,0796
peritoneal,1976
quemadura 3 pie izquierdo,T25322A
sindrome seco,M3500
maltrato historia,Z91419
cancer base de lengua,1410
historia tuberculosa,Z8611
hipertension intracraneal benigna,3482
fecaloma,56032
adenoma paratiroides,2271
e46,E46
patologia artrodegenerativa,M1990
sondatge vesical,5794
lmmc,C9310
faco + lio od,08RJ3JZ
obesidad morbida,E6601
anexectomia bialteral,6561
o700,O700
pci,3439
grupo sanguineo: a rh negativo,Z6711
gamma anti d,9911
mioclonias,G253
36+1 semanas,Z3A36
s. agalactiae,B951
invaginacio intestinal,5600
infeccion herida quirurgica,99859
problemas alimentacion,R633
exeresis piel nariz,0HB1XZZ
desgarro de 1º grado,O700
bypass coronarios,V4581
desgarro 1,O700
dolor cronico,33829
ecografia escrot,BV44ZZZ
linfadenectomia paraaortica,07TD0ZZ
radiografias cervicales,BR00ZZZ
corioamnionitis anteparto,65843
lobectomia,Z902
hernia inguinal izquierda incarcerada,55010
parada cardiorrespiratoria sarscov2 negativa,Z20822
candidiasis vulvovaginal,B3732
extrasistoles,42760
dtt,099500Z
recien nacida,V270
quistes sinusales renales,N281
trombosis,4539
nebulitzat,3E0F7GC
