Code,Literal
J9809,Hiperreactividad bronquial
J9801,broncoespástica
I420,miocardiopatía dilatada
Y831,HTA irc 6
R5600,Crisis febriles atípicas
Z9882,prótesis mama
M5126,hernia discal parto
N189,shock septico
Z390,puerpera
O322XX0,podalica
H903,Hipoacusia bilateral congénita
Z9049,Hemicolectomia derecha
10D07Z6,Ventosa
BU4CZZZ,ECOGRAFIA TRANVAGINAL
R339,RAO
O721,Hemorragia post parto
99893,síndrome mielodisplásico
O3413,mioma part
O700,desgarro de 1er grado
0Q8N3ZZ,Osteotomia tipo Weil derecha
V420,trasplante renal
J382,Nódulo vocales
B9620,Escherichia Coli
Z6741,GS: 0 Rh negativo
2273,adenoma hipofisario
BW00ZZZ,RX abdomen
3E0H73Z,Indometacina rectal
O23592,itu 2t
F09,Deterioro congitivo
0YU50JZ,Hernia inguinal derecha
N871,CIN II parto
E663,Sobrepeso parto
N62,ginecomàstia
0VN90ZZ,detorsión testicular derecho
E860,deshidratado
J45909,Asma part
E211,Hiperparatiroidismo secundario a déficit de vit D
G43909,cefalea migrañosa
E042,tiroides multinodular
40390,HTA IRC
37700,papiledema
6823,miomectomía histeroscópica
98613,lma
Z20822,SARS-CoV-2 negatius
L03115,celulitis eid
2270,Tumoración suprarrenal derecha
Z794,insulino
07BC0ZX,bsgc pelvic
A46,ERISIPELA EN EXTREMIDAD SUPERIOR DERECHA
0UT74ZZ,Anexectomía bilateral lap
S022XXA,Fx de huesos propios de la nariz
R51,Cefalea
O30033,Monocorial Biamniótico
07TC0ZZ,cistectomía radical
V9103,bicorial/biamniótico
0HHU0NZ,expansor mama izq
3E0337Z,ondansetrón
N809,Endometriosis part
87363,fractura dent
O9081,Anemia pueperio
O0090,GEU
N805,617.5
BW30ZZZ,RMN abd
O714,desgarro en vagina
I4892,Flutter auricular
78060,febril
10D17ZZ,Legrado obstétrico
9929,paracetamol
2809,Anemia hipocromica microcitica
3E0337Z,ondansetron
P011,rpm rn
J440,EPOC infeccion respiratoria
C61,Neoplasia de próstata
7243,Lumbociatica
F05,sd confusional
6039,hidrocele
25060,Polineuropatía diabética 2
M797,FIBROMIALGIA
9906,fibrinógeno
Z603,barrera idiomàtica
0BBN3ZX,Biòpsia pleural derecha
0796,VRS
1976,peritoneal
T25322A,Quemadura 3 pie izquierdo
M3500,síndrome seco
Z91419,maltrato historia
1410,ca base de lengua
Z8611,Historia tuberculosa
3482,Hipertensión intracraneal benigna
56032,Fecaloma
2271,Adenoma paratiroides
E46,E46
M1990,Patología artrodegenerativa
5794,Sondatge vesical
C9310,lmmc
08RJ3JZ,FACO + LIO OD
E6601,Obesidad Mórbida
6561,anexectomia bialteral
O700,o700
3439,pci
Z6711,Grupo sanguíneo: A Rh negativo
9911,gamma anti d
G253,mioclonias
Z3A36,36+1 semanas
B951,S. Agalactiae
5600,Invaginació intestinal
99859,INFECCIÓN HERIDA QUIRÚRGICA
R633,Problemas alimentacion
0HB1XZZ,exeresis piel nariz
O700,Desgarro de 1º grado
V4581,bypass coronarios
O700,Desgarro 1
33829,Dolor crónico
BV44ZZZ,Ecografía escrot
07TD0ZZ,linfadenectomia paraaortica
BR00ZZZ,radiografías cervicales
65843,corioamnionitis anteparto
Z902,LOBECTOMIA
55010,Hernia inguinal izquierda incarcerada
Z20822,PCR SARSCOV2 negativa
B3732,candidiasis vulvovaginal
42760,extrasístoles
099500Z,DTT
V270,recién nacida
N281,quistes sinusales renales
4539,Trombosis
3E0F7GC,nebulitzat
I10,Hipertensió arterial
H509,Estrabismo
V1506,Al·lergia acaros
O30043,Gestación bicorial-biamniótica
M7550,Tendinitis supraespinoso hombro derecho
O00101,GEU tubarico derecha
L280,LIQUEN
S32402A,Fractura de acetábulo izquierdo
V861,RE negativos
3129,alteracion conductual
O9972,Asma part
O3403,útero bicorne parto
0HBV0ZZ,REDUCCIÓN MAMARIA BILATERAL
R55,presíncope
B030Y0Z,RM cerebral amb contrast
O3421,cesárea anterior
S72102A,FRACTURA PERTROCANTEREA FEMUR IZQUIERDO
I456,WPW parto
R509,Síndrome febril
0UT90ZZ,histerectomia total
5421,laparoscopia
Z87828,Historia de Politrauma
Z3A40,SG:40+2
BY4FZZZ,Ecografías obst
L0231,absceso glúteo
O480,primigesta de 40
25000,DM tipo 2
P0734,Prematuridad 31
I5030,hta icc
M797,FIBROMIÀLGIA
L900,liquen escleroso
E0500,Graves
F1010,BEBEDOR
O864,Fiebre posparto
N10,pielonefritis del injerto renal
K449,hernia hiato parto
M47812,Artrosis cervical
L209,dematitis atópica parto
R441,alucinaciones visuales
F418,Síndrome ansioso-depresivo parto
Z881,Alergia a tetraciclinas
Y92410,via publica
Z91018,ALERGIA A ALIMENTOS
4414,biopsia estomac
0HBU0ZZ,Tumorectomía (mama izquierda
K449,Hernia diafragmatica
F1020,hábito enólico importante
E1129,nefropatía dm
Z87891,ex-fumador
0SBC4ZZ,regularización meniscal der
Z853,Historia de neoplasia de mama
C541,ADENOCARCINOMA ENDOMETRIOIDE
N186,hta irc 6 icc
L02411,Absceso axila derecha
O99344,depresión y ansiedad parto
0T9330Z,nefrostomia bilateral
Z3A40,: 40+6
R7881,Bacterièmia
BW21ZZZ,TAC ABDOMINOPELVICO
07T60ZZ,LINFADENECTOMÍA AXILAR izq
Z6841,IMC 41
2752,hipomagnesemia
1550,HEPATOBLASTOMA
Z3A38,38 sem
3E0G76Z,nutrición enteral
5180,Atelectasi pulmonar
O00102,Gestación ectópica (tubárica) izquierda
3510,paresia facial izquierda
O694XX0,vasa previa
O322XX0,TRANSVERSA
9929,Venofer
2851,Anemia sang
O99284,intolerancia Lactosa parto
E890,Hipotiroidismo qx
R011,Soplo sistòlico
V1551,h Fractura
E039,hipotiroidismo
BW00ZZZ,Rx Abdomen
N6019,mastopatía fibroquística
78060,Febricula
E7800,Hipercolesterolema
6149,EPI
5733,Hepatitis aguda
I4891,FA rápida
27800,Obesidad part
S134XXA,esguince cervical
K660,adherencia a epiplón
K2950,gastritis cronica parto
53081,RGE
O9972,Dermatitis de contacto parto
E119,DM2
O1414,Preeclamsia grave
Z3A36,36.2 semanas
K589,colon irritable part
R1030,dolor abdomino-pélvico
R109,DOLOR ABDOMINAL
9929,Sedación
D890,Hipergammaglobulinemia policlonal
64843,Depresión anteparto
Z8572,Historia de Linfoma
81241,fr. supracondílea húmero
3E0F7SF,gafas nasales
V603,Vive solo
BT10ZZZ,CISTOGRAFIA
64891,colitis ulcerosa parto
J342,septoplastia
Z91048,Alergia al níquel
V148,Alergias a INZITAN
J00,RINITIS aguda
Z86718,Historia de TROMBOSIS
2724,Dilipemia
Z90710,Histerectomía total
Z20822,SARS-COV2 negativo
4051,linfadenectomía axila
Z593,institucionalizado
Z3A32,itu 3t
2410,Nódulos tiroideos
M6284,sarcopenia
29532,Esquizofrenia paranoide
61172,nodulo mama
N390,infección urinaria
0D9P70Z,sonda rectal
O9089,RAO posparto
9396,CNAF
009U3ZX,Punció lumbar
R34,oliguria
O745,Cefalea dural posparto
Z6710,Grupo A positivo
O640XX0,distocia de descenso
0UT94ZZ,Histerectomia lap
C61,Ca próstata
C642,NEOPLASIA RENAL IZQUIERDA
R269,TRASTORNO DE LA MARCHA
6816,Biòpsia endometrio
Z6740,"Grupo sanguíneo materno: 0, Rh: Positivo"
42769,Extrasístoles ventriculares
I447,brihh
O328XX2,podálica 2
Z90721,ooforectomia izquierda
K449,hernia hiato
74900,Paladar fes
56729,peritonitis purulenta
B349,B34.9
6262,hipermenorrees
O24420,dga1
F418,Síndrome ansioso-depresivo
65811,rotura prematura de membranas
28243,Alfa-talasemia
1820,CARCINOMA ENDOMETRIO
Z6741,: 0 negativo.
E119,diabetes mellitus
V9111,BC/TA
Z6730,Grupo sanguineo: AB Rh: positivo
E790,HIPERURICÈMIA
Z7901,Anticoagulacion
E119,dmnid
0DTJ0ZZ,apendicectomia
K561,invaginación ileo-colica
Z6740,GSRH: O+
J210,bronquiolitis vrs rn
9921,antibiotico
3869,Vértigo
N132,ureterohidronefrosis
B448ZZZ,eco-doppler renal
0VTTXZZ,circuncision
C220,Hepatocarcinoma
Z950,MCP
Z170,RE ++
N281,Quiste renal derecho
9054,secuela fractura femur
0JQC0ZZ,cistocele
O9962,colon irritable parto
Z170,RE:POSITIVOS
O99284,hipotirodismo qx parto
9918,Serumterapia
O76,o76
Z6710,Grupo A
Z91048,Alergia al esparadrapo
H8113,Vértigo paroxístico
B24DZZZ,Ecocardiograma nen
R471,Disartria
O9842,VHB part
3510,Paralisis facial
591,Hidronefrosis obstructiva
0UT24ZZ,ANEXECTOMÍA BILATERAL VIA LAPAROSCÓPICA
B961,ITU por E.coli
37400,entropion
R21,Erupción cutánea
O99284,hipercolesterolemia part
2535,Diabetis insípida
0UBM0ZZ,Vulvectomía parcial
S022XXA,Fractura nasal
BW211ZZ,TC abdominopélvico contraste
2Y44X5Z,taponamiento vaginal
B9620,itu e.coli
