Code,D_P,Description,Literal
A020,D,Enteritis debida a Salmonella,Gastroenteritis aguda por Salmonella entérica
A045,D,Enteritis debida a Campylobacter,campylobacter jejuni
A080,D,Enteritis debida a rotavirus,gea Rotavirus
A080,D,Enteritis debida a rotavirus,Rotavirus
A09,D,"Gastroenteritis y colitis infecciosas, no especificadas",A09
A150,D,Tuberculosis del pulmón,Tuberculosis pulmonar
A159,D,Tuberculosis respiratoria no especificada,tuberculosis
A4151,D,Sepsis por Escherichia coli [E. coli],Sepsis e.coli
A419,D,"Sepsis, microorganismo no especificado",xoc sèptic
A419,D,"Sepsis, microorganismo no especificado",Shock séptico
A419,D,"Sepsis, microorganismo no especificado",shock septico
A46,D,Erisipela,ERISIPELA EN EXTREMIDAD SUPERIOR DERECHA
A483,D,Síndrome de shock tóxico,shock tóxico estreptocóccico
A5901,D,Vulvovaginitis por tricomonas,Trichomonas vaginalis
A5901,D,Vulvovaginitis por tricomonas,Trichomonas vaginales
A6004,D,Vulvovaginitis por herpesvirus,herpes vulvar
A609,D,"Infección anogenital por virus del herpes simple, no especificada",herpes genital parto
A609,D,"Infección anogenital por virus del herpes simple, no especificada",Herpes genital parto
A609,D,"Infección anogenital por virus del herpes simple, no especificada",Herpes Genital parto
A630,D,Verrugas (venéreas) anogenitales,condilomas part
A925,D,Enfermedad por virus del Zika,Zika part
A925,D,Enfermedad por virus del Zika,Zika parto
B002,D,Gingivoestomatitis y faringoamigdalitis herpética,gingivoestomatitis herpètica
B0050,D,"Afectación ocular por herpesvirus, no especificada",Herpes oftálmico
B0052,D,Queratitis por herpesvirus,Herpes corneal
B0229,D,Otro tipo de afectación posherpética del sistema nervioso,Neuralgia postherpética
B029,D,Herpes zóster sin complicaciones,herpes zoster
B029,D,Herpes zóster sin complicaciones,Herpes zoster
B079,D,"Verruga viral, no especificada",verruga vulva
B079,D,"Verruga viral, no especificada",verruga vulvar
B0820,D,"Exantema súbito [sexta enfermedad], no especificado",B08.20
B084,D,Estomatitis vesicular por enterovirus con exantema,boca-mano-pie
B181,D,"Hepatitis vírica crónica tipo B, sin agente delta",Hepatitis B crónica
B181,D,"Hepatitis vírica crónica tipo B, sin agente delta",Hepatitis B parto
B181,D,"Hepatitis vírica crónica tipo B, sin agente delta",VHB cronico
B181,D,"Hepatitis vírica crónica tipo B, sin agente delta",VHB parto
B181,D,"Hepatitis vírica crónica tipo B, sin agente delta",vhb
B181,D,"Hepatitis vírica crónica tipo B, sin agente delta",hepatitis B
B181,D,"Hepatitis vírica crónica tipo B, sin agente delta",Hepatitis B cronica
B181,D,"Hepatitis vírica crónica tipo B, sin agente delta",Hepatitis B.
B181,D,"Hepatitis vírica crónica tipo B, sin agente delta",hepatitis B part
B182,D,Hepatitis vírica crónica tipo C,VHC parto
B182,D,Hepatitis vírica crónica tipo C,vhc
B182,D,Hepatitis vírica crónica tipo C,Hepatitis C parto
B182,D,Hepatitis vírica crónica tipo C,cirrosis hepatica vhc
