Code,D_P,processed_Description,processed_Literal
A020,D,enteritis debida a salmonella,gastroenteritis aguda por salmonella enterica
A045,D,enteritis debida a campylobacter,campylobacter jejuni
A080,D,enteritis debida a rotavirus,gastroenteritis aguda rotavirus
A080,D,enteritis debida a rotavirus,rotavirus
A09,D,"gastroenteritis y colitis infecciosas, no especificadas",a09
A150,D,tuberculosis del pulmon,tuberculosis pulmonar
A159,D,tuberculosis respiratoria no especificada,tuberculosis
A4151,D,sepsis por escherichia coli [e. coli],sepsis e.coli
A419,D,"sepsis, microorganismo no especificado",xoc septic
A419,D,"sepsis, microorganismo no especificado",shock septico
A419,D,"sepsis, microorganismo no especificado",shock septico
A46,D,erisipela,erisipela en extremidad superior derecha
A483,D,sindrome de shock toxico,shock toxico estreptococcico
A5901,D,vulvovaginitis por tricomonas,trichomonas vaginalis
A5901,D,vulvovaginitis por tricomonas,trichomonas vaginales
A6004,D,vulvovaginitis por herpesvirus,herpes vulvar
A609,D,"infeccion anogenital por virus del herpes simple, no especificada",herpes genital parto
A609,D,"infeccion anogenital por virus del herpes simple, no especificada",herpes genital parto
A609,D,"infeccion anogenital por virus del herpes simple, no especificada",herpes genital parto
A630,D,verrugas (venereas) anogenitales,condilomas part
A925,D,enfermedad por virus del zika,zika part
A925,D,enfermedad por virus del zika,zika parto
B002,D,gingivoestomatitis y faringoamigdalitis herpetica,gingivoestomatitis herpetica
B0050,D,"afectacion ocular por herpesvirus, no especificada",herpes oftalmico
B0052,D,queratitis por herpesvirus,herpes corneal
B0229,D,otro tipo de afectacion posherpetica del sistema nervioso,neuralgia postherpetica
B029,D,herpes zoster sin complicaciones,herpes zoster
B029,D,herpes zoster sin complicaciones,herpes zoster
B079,D,"verruga viral, no especificada",verruga vulva
B079,D,"verruga viral, no especificada",verruga vulvar
B0820,D,"exantema subito [sexta enfermedad], no especificado",b08.20
B084,D,estomatitis vesicular por enterovirus con exantema,boca-mano-pie
B181,D,"hepatitis virica cronica tipo b, sin agente delta",hepatitis b cronica
B181,D,"hepatitis virica cronica tipo b, sin agente delta",hepatitis b parto
B181,D,"hepatitis virica cronica tipo b, sin agente delta",virus hepatitis B cronico
B181,D,"hepatitis virica cronica tipo b, sin agente delta",virus hepatitis B parto
B181,D,"hepatitis virica cronica tipo b, sin agente delta",virus hepatitis B
B181,D,"hepatitis virica cronica tipo b, sin agente delta",hepatitis b
B181,D,"hepatitis virica cronica tipo b, sin agente delta",hepatitis b cronica
B181,D,"hepatitis virica cronica tipo b, sin agente delta",hepatitis b.
B181,D,"hepatitis virica cronica tipo b, sin agente delta",hepatitis b part
B182,D,hepatitis virica cronica tipo c,virus hepatitis C parto
